date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2013-09-01 19:32:23.387,7171,1640.25,1642.0,1639.0,1642.0,28031,15442,7171,45991914.75
2013-09-02 01:18:21.928,16133,1642.0,1644.0,1640.25,1643.5,28003,14566,8962,45992828.5
2013-09-02 02:50:32.992,25976,1643.5,1646.0,1642.25,1644.75,28000,15550,9843,46039902.25
2013-09-02 04:57:09.236,35968,1644.75,1647.25,1643.75,1646.0,28000,14211,9992,46082594.25
2013-09-02 07:04:32.076,43461,1646.0,1648.5,1645.75,1647.5,28013,17300,7493,46139513.25
2013-09-02 09:28:41.320,50617,1647.5,1648.25,1645.25,1646.75,28006,14768,7156,46118485.75
2013-09-02 18:56:16.142,58588,1646.75,1648.5,1645.25,1645.75,28000,15121,7971,46123537.0
2013-09-03 01:03:08.902,67636,1645.5,1648.5,1645.25,1648.25,28002,15240,9048,46126025.0
2013-09-03 02:37:29.758,77301,1648.25,1649.0,1646.25,1648.0,28014,14175,9665,46157621.0
2013-09-03 03:54:05.880,87402,1648.0,1648.5,1644.0,1644.25,28120,8967,10101,46313410.25
2013-09-03 04:02:15.814,95347,1644.25,1644.5,1642.25,1643.5,28003,12164,7945,46015407.75
2013-09-03 04:19:21.859,104814,1643.5,1646.75,1642.25,1644.0,28000,14625,9467,46038899.0
2013-09-03 05:47:10.797,114924,1644.0,1647.0,1642.75,1646.0,28000,14117,10110,46058169.75
2013-09-03 07:00:04.684,125001,1646.0,1647.0,1642.5,1644.75,28000,13214,10077,46051178.0
2013-09-03 07:55:13.595,133880,1644.75,1646.75,1643.5,1646.75,28024,15062,8879,46104489.75
2013-09-03 08:30:00.115,142736,1646.75,1647.0,1645.5,1645.75,28002,13038,8856,46097234.25
2013-09-03 08:31:19.100,148668,1645.75,1648.75,1645.75,1648.75,28001,16351,5932,46127811.5
2013-09-03 08:32:34.173,153995,1648.75,1649.25,1647.5,1648.5,28001,14452,5327,46156152.0
2013-09-03 08:34:32.909,159798,1648.25,1649.5,1647.75,1648.0,28049,15291,5803,46245784.75
2013-09-03 08:36:51.507,165695,1648.0,1650.0,1647.75,1648.75,28001,16522,5897,46175865.0
2013-09-03 08:40:35.969,172319,1648.75,1649.75,1648.25,1649.25,28000,14970,6624,46169361.0
2013-09-03 08:45:01.371,179953,1649.25,1649.5,1647.25,1647.5,28017,13060,7634,46173366.0
2013-09-03 08:49:59.492,187574,1647.5,1648.5,1646.75,1647.25,28028,14093,7621,46176627.5
2013-09-03 08:55:55.810,195339,1647.25,1648.0,1646.25,1647.5,28000,13149,7765,46116607.25
2013-09-03 09:01:33.727,203110,1647.5,1648.0,1645.25,1645.75,28001,13377,7771,46106137.0
2013-09-03 09:05:15.458,211280,1645.75,1647.0,1644.25,1646.75,28003,14961,8170,46082910.0
2013-09-03 09:10:14.198,220100,1646.75,1647.5,1645.5,1647.0,28000,15429,8820,46102263.25
2013-09-03 09:14:02.072,227730,1647.0,1648.75,1647.0,1647.5,28001,14997,7630,46140901.25
2013-09-03 09:19:33.542,235432,1647.5,1648.0,1645.0,1645.5,28003,9654,7702,46100686.0
2013-09-03 09:24:58.702,243508,1645.5,1645.75,1643.75,1644.5,28003,13886,8076,46052634.75
2013-09-03 09:31:22.897,250789,1644.5,1645.75,1644.25,1645.25,28002,17391,7281,46065266.75
2013-09-03 09:38:56.939,258092,1645.25,1646.75,1645.25,1646.25,28016,15990,7303,46116616.75
2013-09-03 09:48:31.708,265834,1646.25,1647.75,1646.0,1647.0,28001,15002,7742,46113926.25
2013-09-03 09:56:58.192,273457,1647.0,1647.25,1645.0,1645.0,28000,10519,7623,46088849.25
2013-09-03 10:04:15.445,280278,1645.0,1646.25,1644.5,1645.5,28001,14944,6821,46071406.5
2013-09-03 10:17:08.308,287694,1645.5,1646.75,1644.75,1645.0,28006,14147,7416,46092238.0
2013-09-03 10:20:12.489,294172,1645.0,1645.25,1642.5,1642.75,28000,8866,6478,46030917.0
2013-09-03 10:23:24.570,301160,1642.75,1643.25,1641.25,1641.5,28000,10108,6988,45986444.0
2013-09-03 10:25:26.127,307180,1641.5,1641.5,1640.0,1640.75,28006,10963,6020,45948759.75
2013-09-03 10:27:42.621,313825,1640.75,1641.5,1638.5,1639.25,28002,11059,6645,45927722.5
2013-09-03 10:30:21.755,319908,1639.25,1639.5,1637.25,1637.5,28005,11646,6083,45888393.25
2013-09-03 10:33:45.275,326893,1637.5,1639.5,1637.25,1639.0,28003,15718,6985,45887578.25
2013-09-03 10:38:06.946,334243,1639.0,1639.5,1637.5,1638.75,28002,13461,7350,45883686.0
2013-09-03 10:45:07.853,341336,1638.75,1640.0,1637.75,1638.0,28000,14786,7093,45890200.75
2013-09-03 10:49:03.062,348088,1638.0,1638.5,1636.25,1637.75,28001,13049,6752,45844273.0
2013-09-03 10:57:30.363,355612,1637.75,1639.25,1637.5,1637.75,28000,16150,7524,45872182.75
2013-09-03 11:05:17.068,362214,1637.75,1638.75,1637.25,1637.5,28013,15927,6602,45880947.25
2013-09-03 11:14:39.016,369489,1637.5,1639.5,1637.25,1638.0,28046,12286,7275,45959436.0
2013-09-03 11:23:50.896,377009,1638.0,1638.25,1636.25,1637.5,28101,11496,7520,46006009.25
2013-09-03 11:32:09.543,383061,1637.5,1638.25,1636.75,1637.5,28037,15062,6052,45916304.5
2013-09-03 11:42:30.406,389599,1637.5,1637.75,1635.5,1636.25,28000,13368,6538,45830317.5
2013-09-03 11:47:42.735,396005,1636.25,1636.75,1634.25,1634.75,28002,10166,6406,45793247.25
2013-09-03 11:55:38.936,402387,1634.75,1635.25,1633.75,1635.25,28000,15748,6382,45770140.5
2013-09-03 12:03:55.304,409585,1635.25,1635.25,1632.75,1633.25,28034,11183,7198,45795859.75
2013-09-03 12:10:27.493,416238,1633.25,1634.5,1632.0,1634.5,28004,17116,6653,45730496.75
2013-09-03 12:19:24.054,422954,1634.5,1635.5,1633.5,1633.5,28009,15918,6716,45783915.25
2013-09-03 12:27:35.654,430744,1633.5,1634.5,1632.25,1634.5,28002,14971,7790,45734689.75
2013-09-03 12:44:19.071,438947,1634.5,1635.5,1633.75,1634.25,28000,16176,8203,45771268.75
2013-09-03 12:51:45.075,446245,1634.25,1634.5,1631.5,1632.75,28021,13145,7298,45753409.25
2013-09-03 13:02:06.207,454442,1632.75,1633.75,1631.5,1633.25,28006,16225,8197,45731013.5
2013-09-03 13:12:08.687,462111,1633.25,1635.5,1633.0,1635.25,28000,15112,7669,45752219.5
2013-09-03 13:22:38.878,469960,1635.25,1635.5,1632.0,1632.0,28016,10318,7849,45785717.0
2013-09-03 13:29:31.293,477560,1632.0,1633.5,1631.25,1633.5,28032,13806,7600,45761364.75
2013-09-03 13:36:01.118,485564,1633.5,1634.75,1632.5,1633.0,28004,13387,8004,45754801.25
2013-09-03 13:45:43.351,493547,1633.0,1634.0,1631.75,1632.25,28000,12820,7983,45723147.75
2013-09-03 13:52:54.589,501357,1632.25,1633.75,1630.75,1632.75,28003,14296,7810,45707108.25
2013-09-03 13:59:58.317,508462,1632.75,1635.0,1632.5,1634.75,28001,16713,7105,45751683.0
2013-09-03 14:04:45.170,514872,1634.75,1637.0,1634.25,1636.5,28000,20460,6410,45790588.0
2013-09-03 14:08:14.698,521168,1636.5,1638.25,1636.25,1638.0,28000,16708,6296,45837621.0
2013-09-03 14:13:20.950,527711,1638.0,1638.5,1637.25,1638.0,28078,14482,6543,45990984.5
2013-09-03 14:20:00.511,534436,1638.25,1639.0,1637.25,1637.25,28002,13191,6725,45871745.0
2013-09-03 14:29:59.110,540878,1637.25,1638.0,1636.5,1636.75,28012,12999,6442,45856261.0
2013-09-03 14:38:16.111,547915,1636.75,1638.25,1636.75,1638.0,28000,17997,7037,45852591.25
2013-09-03 14:44:27.617,554978,1638.0,1639.5,1637.0,1639.0,28006,14985,7063,45880109.5
2013-09-03 14:48:05.374,561449,1639.0,1639.0,1636.25,1636.25,28002,11955,6471,45867605.75
2013-09-03 14:53:36.553,568917,1636.5,1636.75,1635.0,1636.25,28000,12694,7468,45806743.0
2013-09-03 14:58:12.640,575398,1636.25,1637.25,1636.0,1636.25,28000,15158,6481,45820219.25
